date,open,high,low,close,volume,average,barCount
2024-06-11,6421.0,6560.0,6314.0,6525.0,284.0,6481.4,284
2024-06-12,6610.0,6894.0,6474.0,6760.0,353.0,6679.6,353
2024-06-13,6892.0,6996.0,6775.0,6872.0,433.0,6900.0,433
2024-06-14,6870.0,6931.0,6449.0,6754.0,350.0,6726.8,348
2024-06-17,6719.0,6744.0,6377.0,6514.0,125.0,6523.3,125
2024-06-18,6488.0,6797.0,6488.0,6775.0,112.0,6676.1,112
2024-06-20,6728.0,6763.0,6289.0,6415.0,72.0,6481.6,72
2024-06-21,6299.0,6598.0,6122.0,6338.0,196.0,6404.0,196
2024-06-24,6243.0,6306.0,5649.0,5820.0,812.0,5927.8,808
2024-06-25,5879.0,5980.0,5444.0,5867.0,540.0,5718.3,540
2024-06-26,5848.0,5871.0,5625.0,5801.0,204.0,5789.5,194
2024-06-27,5770.0,5792.0,5385.0,5456.0,114.0,5579.6,113
2024-06-28,5414.0,5697.0,5386.0,5691.0,247.0,5585.1,247
2024-07-01,5575.0,5647.0,5367.0,5476.0,211.0,5457.9,211
2024-07-02,5428.0,5783.0,5366.0,5759.0,431.0,5607.4,428
2024-07-03,5731.0,5959.0,5731.0,5835.0,186.0,5850.3,184
2024-07-05,5749.0,5844.0,5715.0,5829.0,222.0,5781.4,222
2024-07-08,5829.0,6058.0,5751.0,5763.0,163.0,5934.1,159
2024-07-09,5957.0,6164.0,5684.0,6037.0,352.0,5969.6,352
2024-07-10,6028.0,6029.0,5856.0,5951.0,205.0,5951.7,204
2024-07-11,5987.0,6196.0,5896.0,6182.0,298.0,6055.0,298
2024-07-12,6168.0,6244.0,6057.0,6128.0,101.0,6151.9,101
2024-07-15,6094.0,6230.0,5917.0,6189.0,317.0,6078.1,315
2024-07-16,6147.0,6185.0,5824.0,5855.0,179.0,5910.7,178
2024-07-17,5966.0,5976.0,5817.0,5838.0,214.0,5884.5,214
2024-07-18,5861.0,6065.0,5841.0,6014.0,201.0,5954.8,201
2024-07-19,6065.0,6191.0,5804.0,5865.0,205.0,6071.9,205
2024-07-22,6007.0,6251.0,5992.0,6182.0,480.0,6167.9,477
2024-07-23,6176.0,6223.0,6082.0,6181.0,63.0,6163.7,63
2024-07-24,6194.0,6241.0,6015.0,6033.0,165.0,6116.3,164
2024-07-25,6021.0,6021.0,5690.0,5696.0,321.0,5738.3,321
2024-07-26,5700.0,5916.0,5681.0,5894.0,192.0,5806.0,192
2024-07-29,5775.0,5797.0,5663.0,5717.0,274.0,5719.7,270
2024-07-30,5756.0,5938.0,5700.0,5889.0,224.0,5850.3,222
2024-07-31,5793.0,5875.0,5749.0,5812.0,90.0,5818.1,90
2024-08-01,5760.0,5760.0,5594.0,5622.0,340.0,5656.2,340
2024-08-02,5632.0,5708.0,5577.0,5647.0,388.0,5619.5,388
2024-08-05,5608.0,5841.0,5562.0,5770.0,741.0,5667.7,741
2024-08-06,5734.0,5903.0,5668.0,5784.0,609.0,5733.1,596
2024-08-07,5785.0,5933.0,5703.0,5814.0,987.0,5815.9,986
2024-08-08,5796.0,5851.0,5569.0,5657.0,1134.0,5680.1,1131
2024-08-09,5790.0,6100.0,5783.0,6022.0,1197.0,5973.5,1195
2024-08-12,5851.0,5988.0,5710.0,5734.0,683.0,5822.5,677
2024-08-13,5781.0,5885.0,5690.0,5765.0,347.0,5807.6,347
2024-08-14,5765.0,5804.0,5657.0,5707.0,327.0,5713.5,326
2024-08-15,5744.0,5902.0,5658.0,5725.0,489.0,5802.6,488
2024-08-16,5867.0,5914.0,5736.0,5777.0,350.0,5814.5,347
2024-08-19,5781.0,6033.0,5721.0,5868.0,590.0,5894.9,588
2024-08-20,5846.0,5950.0,5809.0,5916.0,504.0,5901.5,499
2024-08-21,5915.0,6035.0,5836.0,5896.0,677.0,5942.4,674
2024-08-22,5917.0,5945.0,5755.0,5940.0,353.0,5871.3,352
2024-08-23,5873.0,6029.0,5865.0,5972.0,196.0,5960.6,193
2024-08-26,5936.0,6256.0,5895.0,6245.0,152.0,6144.1,149
2024-08-27,6110.0,6271.0,5893.0,5928.0,405.0,6061.2,403
2024-08-28,5894.0,6009.0,5810.0,5852.0,247.0,5899.3,246
2024-08-29,5807.0,5919.0,5746.0,5837.0,495.0,5847.9,495
2024-08-30,5884.0,5941.0,5776.0,5815.0,289.0,5861.5,288
2024-09-03,5900.0,5900.0,5616.0,5616.0,731.0,5685.5,730
2024-09-04,5660.0,5686.0,5465.0,5484.0,900.0,5516.2,875
2024-09-05,5497.0,5627.0,5481.0,5606.0,590.0,5555.7,586
2024-09-06,5589.0,5723.0,5531.0,5591.0,479.0,5630.1,472
2024-09-09,5576.0,5694.0,5568.0,5642.0,595.0,5639.5,590
2024-09-10,5616.0,5652.0,5510.0,5553.0,887.0,5550.7,877
2024-09-11,5545.0,5676.0,5538.0,5668.0,829.0,5634.3,825
2024-09-12,5636.0,5638.0,5543.0,5549.0,647.0,5592.2,641
2024-09-13,5578.0,5649.0,5470.0,5527.0,759.0,5542.0,750
2024-09-16,5568.0,5659.0,5508.0,5582.0,403.0,5566.5,403
2024-09-17,5555.0,5600.0,5411.0,5512.0,380.0,5490.7,373
2024-09-18,5512.0,5601.0,5505.0,5591.0,294.0,5562.7,291
